,Small Component,Big Component,Small2 Component,Big2 Component,Score
1727,consensus independent component 299_Breast cancer,consensus independent component 145_big,consensus independent component 89_Colorectal cancer,consensus independent component 145_big,0.001092121599162943
804,consensus independent component 154_Gastric cancer,consensus independent component 3359_big,consensus independent component 111_Lymphoma,consensus independent component 1258_big,0.0010239690939432555
499,consensus independent component 132_HNSCC,consensus independent component 2574_big,consensus independent component 29_HCC,consensus independent component 1350_big,0.0010095570901753198
1733,consensus independent component 29_Colorectal cancer,consensus independent component 131_big,consensus independent component 34_Brain cancer,consensus independent component 2365_big,0.0009579543946004465
840,consensus independent component 157_Lung cancer,consensus independent component 2772_big,consensus independent component 98_Colorectal cancer,consensus independent component 2372_big,0.0009013835052923413
133,consensus independent component 108_Ovarian cancer,consensus independent component 2131_big,consensus independent component 10_Brain cancer,consensus independent component 2131_big,0.0008160479184916025
1099,consensus independent component 181_Lung cancer,consensus independent component 2011_big,consensus independent component 211_Breast cancer,consensus independent component 2011_big,-0.0005233460954692237
1635,consensus independent component 27_Brain cancer,consensus independent component 1800_big,consensus independent component 101_Adrenal cancer,consensus independent component 251_big,-0.0005713964529569515
1480,consensus independent component 246_Sarcoma,consensus independent component 3628_big,consensus independent component 79_Melanoma,consensus independent component 3628_big,-0.0007256399847665462
3024,consensus independent component 75_Gastric cancer,consensus independent component 3425_big,consensus independent component 5_Prostate cancer,consensus independent component 807_big,-0.0007613740697119398
500,consensus independent component 132_Lung cancer,consensus independent component 27_big,consensus independent component 20_Brain cancer,consensus independent component 3628_big,-0.001055052657453981
302,consensus independent component 11_Adrenal cancer,consensus independent component 521_big,consensus independent component 86_Multiple myeloma,consensus independent component 521_big,-0.0010837062324219326
3120,consensus independent component 7_Melanoma,consensus independent component 3064_big,consensus independent component 146_Brain cancer,consensus independent component 953_big,-0.0011439658531476604
748,consensus independent component 14_Normal,consensus independent component 743_big,consensus independent component 8_Leukemia,consensus independent component 743_big,-0.0014034045373533255
2635,consensus independent component 57_Brain cancer,consensus independent component 165_big,consensus independent component 108_Melanoma,consensus independent component 165_big,-0.0014348997906039052
3097,consensus independent component 79_HCC,consensus independent component 3572_big,consensus independent component 99_Normal,consensus independent component 1256_big,-0.0015313987139048552
638,consensus independent component 141_Sarcoma,consensus independent component 3233_big,consensus independent component 101_Adrenal cancer,consensus independent component 251_big,-0.001574045748930858
1741,consensus independent component 29_Multiple myeloma,consensus independent component 165_big,consensus independent component 95_Colorectal cancer,consensus independent component 2527_big,-0.0016756886429837303
2255,consensus independent component 44_Colorectal cancer,consensus independent component 457_big,consensus independent component 33_Brain cancer,consensus independent component 1955_big,-0.0019401685069838082
2826,consensus independent component 65_Gastric cancer,consensus independent component 777_big,consensus independent component 102_Melanoma,consensus independent component 777_big,-0.0020075786875418666
354,consensus independent component 122_Melanoma,consensus independent component 1702_big,consensus independent component 271_Sarcoma,consensus independent component 1557_big,-0.0020873642629044703
432,consensus independent component 128_Melanoma,consensus independent component 2214_big,consensus independent component 124_Brain cancer,consensus independent component 2214_big,-0.0022215775139839966
2466,consensus independent component 51_Adrenal cancer,consensus independent component 810_big,consensus independent component 163_HCC,consensus independent component 452_big,-0.002308550139908161
1797,consensus independent component 30_Brain cancer,consensus independent component 1625_big,consensus independent component 59_Sarcoma,consensus independent component 3007_big,-0.0026561139569435677
1176,consensus independent component 18_Lymphoma,consensus independent component 1829_big,consensus independent component 85_Brain cancer,consensus independent component 1829_big,-0.0027051955077851964
1916,consensus independent component 335_Breast cancer,consensus independent component 688_big,consensus independent component 24_Lung cancer,consensus independent component 688_big,-0.002819874430651792
1359,consensus independent component 21_Normal,consensus independent component 837_big,consensus independent component 73_Colorectal cancer,consensus independent component 837_big,-0.0028288215657261695
