,Small Component,Big Component,Small2 Component,Big2 Component,Score
1454,consensus independent component 23_Myelodysplastic syndrome,consensus independent component 3086_big,consensus independent component 62_Lymphoma,consensus independent component 447_big,-0.03416718869949614
5,consensus independent component 100_HCC,consensus independent component 120_big,consensus independent component 122_Breast cancer,consensus independent component 521_big,-0.034280924311958706
69,consensus independent component 104_HNSCC,consensus independent component 64_big,consensus independent component 104_Lung cancer,consensus independent component 147_big,-0.034422148059188584
1145,consensus independent component 187_Gastric cancer,consensus independent component 831_big,consensus independent component 22_Colorectal cancer,consensus independent component 1079_big,-0.03449967520822107
3181,consensus independent component 82_Sarcoma,consensus independent component 194_big,consensus independent component 52_Multiple myeloma,consensus independent component 451_big,-0.03451672082435028
1697,consensus independent component 28_Prostate cancer,consensus independent component 1907_big,consensus independent component 271_Breast cancer,consensus independent component 2082_big,-0.03453301719761309
2499,consensus independent component 52_HCC,consensus independent component 3006_big,consensus independent component 16_Lung cancer,consensus independent component 1971_big,-0.034548836802234605
2787,consensus independent component 63_Brain cancer,consensus independent component 3689_big,consensus independent component 39_Normal,consensus independent component 3689_big,-0.03484840395802463
214,consensus independent component 113_Gastric cancer,consensus independent component 2588_big,consensus independent component 149_Colorectal cancer,consensus independent component 2670_big,-0.03485386522960557
282,consensus independent component 118_Lung cancer,consensus independent component 457_big,consensus independent component 44_Colorectal cancer,consensus independent component 457_big,-0.034931080927982416
642,consensus independent component 142_Gastric cancer,consensus independent component 37_big,consensus independent component 37_Colorectal cancer,consensus independent component 37_big,-0.03496000597908372
2673,consensus independent component 58_Multiple myeloma,consensus independent component 788_big,consensus independent component 17_Leukemia,consensus independent component 788_big,-0.03498607887119315
3442,consensus independent component 97_Lymphoma,consensus independent component 3413_big,consensus independent component 16_Multiple myeloma,consensus independent component 2247_big,-0.03504968678186421
904,consensus independent component 162_HCC,consensus independent component 379_big,consensus independent component 30_Ovarian cancer,consensus independent component 1530_big,-0.03511457460374835
373,consensus independent component 124_Breast cancer,consensus independent component 173_big,consensus independent component 43_Normal,consensus independent component 173_big,-0.03511766724808574
1789,consensus independent component 307_Sarcoma,consensus independent component 1162_big,consensus independent component 537_Normal,consensus independent component 1162_big,-0.03511797595366256
1555,consensus independent component 25_Sarcoma,consensus independent component 3401_big,consensus independent component 90_Breast cancer,consensus independent component 789_big,-0.03525583616183653
532,consensus independent component 134_Sarcoma,consensus independent component 1839_big,consensus independent component 296_Normal,consensus independent component 1839_big,-0.03533480308811243
3292,consensus independent component 89_HNSCC,consensus independent component 243_big,consensus independent component 132_Sarcoma,consensus independent component 2856_big,-0.03573246846173003
303,consensus independent component 11_Brain cancer,consensus independent component 807_big,consensus independent component 24_Normal,consensus independent component 807_big,-0.035769870732267894
371,consensus independent component 123_Sarcoma,consensus independent component 3376_big,consensus independent component 11_Adrenal cancer,consensus independent component 521_big,-0.035792694447733975
2023,consensus independent component 36_Normal,consensus independent component 3087_big,consensus independent component 134_Melanoma,consensus independent component 3087_big,-0.035833375780935484
283,consensus independent component 118_Lymphoma,consensus independent component 2987_big,consensus independent component 146_Brain cancer,consensus independent component 953_big,-0.03599620019790645
1212,consensus independent component 194_Gastric cancer,consensus independent component 813_big,consensus independent component 35_Breast cancer,consensus independent component 813_big,-0.0360567394137776
1336,consensus independent component 216_Sarcoma,consensus independent component 2979_big,consensus independent component 44_Renal cancer,consensus independent component 3587_big,-0.03613085127396164
3182,consensus independent component 83_Adrenal cancer,consensus independent component 1909_big,consensus independent component 136_Ovarian cancer,consensus independent component 3690_big,-0.036144887573508075
669,consensus independent component 144_Lung cancer,consensus independent component 133_big,consensus independent component 143_Colorectal cancer,consensus independent component 133_big,-0.03616082236380247
1363,consensus independent component 21_Sarcoma,consensus independent component 3632_big,consensus independent component 37_Normal,consensus independent component 469_big,-0.03616638751869304
